"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J601";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
2;"U501";"GC9A01Round1.28_flipped_mount_easy_esc";1;"GC9A01";;;
3;"C707,C705";"C_0402_1005Metric";2;"10u";;;
4;"D702";"D_0603_1608Metric";1;"3V3";;;
5;"U101";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
6;"R206,R207,R502";"R_0402_1005Metric";3;"22R";;;
7;"R303,R702";"R_0402_1005Metric";2;"3.3k";;;
8;"C502,C501,C202,C204,C101,C401,C203,C201,C207,C208";"C_0402_1005Metric";10;"0.1u";;;
9;"R301,R302";"R_0402_1005Metric";2;"18k";;;
10;"Q501";"SOT-23";1;"AO3400A";;;
11;"R203,R401,R501,R202,R503";"R_0402_1005Metric";5;"10k";;;
12;"H104,H101,H102,H103";"MountingHole_3.2mm_M3_DIN965_Pad";4;"M3";;;
13;"JP601";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"USB5V";;;
14;"C303";"C_0603_1608Metric";1;"22u";;;
15;"J107";"JST-XH-edgemount-2p";1;"EXT_PWR";;;
16;"C302";"C_0402_1005Metric";1;"10n";;;
17;"C706,C702";"C_0402_1005Metric";2;"1u";;;
18;"D301";"D_0603_1608Metric";1;"FAULT";;;
19;"JP701";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"EXT5V";;;
20;"C701,C704,C703";"C_1206_3216Metric";3;"100u";;;
21;"J201";"PinHeader_2x07_P1.27mm_Vertical";1;"STDC14";;;
22;"D701";"D_0603_1608Metric";1;"5V";;;
23;"C205,C206";"C_0402_1005Metric";2;"20p";;;
24;"D101";"D_SOD-123";1;"B5819W";;;
25;"Y201";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
26;"U601";"SOT-23-6";1;"SRV05-4";;;
27;"U301";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";1;"STSPIN233";;;
28;"R204,R701,R201,R205";"R_0402_1005Metric";4;"5.1k";;;
29;"J106";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"CAN TERMINATION";;;
30;"D201";"D_0603_1608Metric";1;"USER";;;
31;"U701";"SOT-23";1;"XC6206";;;
32;"J104";"AVX-009159010061911";1;"CANBUS_OUT";;;
33;"C602,C601";"C_0402_1005Metric";2;"47p";;;
34;"U201";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32G431";;;
35;"C304";"C_0402_1005Metric";1;"2.2u";;;
36;"R101";"R_0402_1005Metric";1;"120R";;;
37;"SW201";"TS-1187A-B-A-B";1;"DFU";;;
38;"TP701";"TestPoint_Pad_D1.0mm";1;"5V";;;
39;"TP702";"TestPoint_Pad_D1.0mm";1;"3V3";;;
40;"C301";"C_0402_1005Metric";1;"1n";;;
41;"U401";"QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm";1;"MT6701";;;
42;"SW202";"TS-1187A-B-A-B";1;"RESET";;;
43;"J101";"PinHeader_2x02_P2.54mm_Vertical";1;"I2C";;;
44;"J102";"PinHeader_2x02_P2.54mm_Vertical";1;"UART";;;
45;"J109";"FPC-SMD_3P-P1.00_HDGC_1.0K-LS-3PWB-BOTTOMCONTACT";1;"MOT_FPC";;;
46;"J110";"FPC-SMD_3P-P1.00_HDGC_1.0K-LS-3PWB-BOTTOMCONTACT";1;"MOT_FPC2";;;
47;"J103";"AVX-009159010061911";1;"CANBUS_IN";;;
